Id,Inode,Jnode,LatitudIn,LongitudIn,LatitudJn,LongitudJn
5605-2242,5605,2242,6.26645453441103,-75.5581369063254,6.26710591852155,-75.5580562385926
5605-3971,5605,3971,6.26645453441103,-75.5581369063254,6.26664334080569,-75.5592219053022
5606-3976,5606,3976,6.26593166426288,-75.5564549151889,6.26461122633214,-75.5562184777149
5606-4059,5606,4059,6.26593166426288,-75.5564549151889,6.26732511084249,-75.5560857514358
5607-12016,5607,12016,6.26224806436317,-75.5582951563025,6.26253707486604,-75.555659789548
5607-3977,5607,3977,6.26224806436317,-75.5582951563025,6.26269272998526,-75.5569577205252
5607-6583,5607,6583,6.26224806436317,-75.5582951563025,6.26338604889638,-75.5574705532214
5607-4095,5607,4095,6.26224806436317,-75.5582951563025,6.26079968754076,-75.5592789655045
5608-4097,5608,4097,6.26209485274873,-75.5577616389357,6.26021247075228,-75.5585641906896
5608-3989,5608,3989,6.26209485274873,-75.5577616389357,6.26149930710814,-75.5563688623711
5609-4117,5609,4117,6.25966587521353,-75.5536549606096,6.2593186309501,-75.5530851468141
5609-4119,5609,4119,6.25966587521353,-75.5536549606096,6.25979119973557,-75.5549025953095
5610-6481,5610,6481,6.2601933796464,-75.5480092460606,6.25898655930322,-75.5489754420763
5610-4067,5610,4067,6.2601933796464,-75.5480092460606,6.26295460195017,-75.5488039799209
5611-2418,5611,2418,6.27041174944979,-75.5874127279163,6.26791570895314,-75.586885617275
5611-637,5611,637,6.27041174944979,-75.5874127279163,6.27080204010493,-75.5908071604839
5611-2509,5611,2509,6.27041174944979,-75.5874127279163,6.27235290769792,-75.5906873941111
5612-4905,5612,4905,6.24864370422274,-75.5592649254863,6.24919002099144,-75.5586835665839
5612-5615,5612,5615,6.24864370422274,-75.5592649254863,6.24842493796038,-75.5593937096358
5612-4173,5612,4173,6.24864370422274,-75.5592649254863,6.24908676883564,-75.5599708700753
5612-4191,5612,4191,6.24864370422274,-75.5592649254863,6.24795579161918,-75.5581895957775
5613-4082,5613,4082,6.24728428035616,-75.5596816378595,6.24730404103905,-75.5597675568562
5613-4124,5613,4124,6.24728428035616,-75.5596816378595,6.24701450015155,-75.5586857791894
5613-5614,5613,5614,6.24728428035616,-75.5596816378595,6.24791040878631,-75.5594705970406
5614-5616,5614,5616,6.24791040878631,-75.5594705970406,6.24739515793853,-75.5584688312771
5614-5613,5614,5613,6.24791040878631,-75.5594705970406,6.24728428035616,-75.5596816378595
5614-5615,5614,5615,6.24791040878631,-75.5594705970406,6.24842493796038,-75.5593937096358
5615-4082,5615,4082,6.24842493796038,-75.5593937096358,6.24730404103905,-75.5597675568562
5615-5612,5615,5612,6.24842493796038,-75.5593937096358,6.24864370422274,-75.5592649254863
5615-6101,5615,6101,6.24842493796038,-75.5593937096358,6.24883356500497,-75.5601209824084
5615-5614,5615,5614,6.24842493796038,-75.5593937096358,6.24791040878631,-75.5594705970406
